arch_name	status	nix_attr	mapping_kind
dracut	direct	dracut	exact-validated
dradis-ce	unmatched		
dragon	unmatched		
dragon-backdoor	unmatched		
drinkme	unmatched		
dripcap	unmatched		
dripper	unmatched		
droidcam	direct	droidcam	exact-validated
drozer	unmatched		
drupal-module-enum	unmatched		
drupalscan	unmatched		
drupwn	unmatched		
dsd	unmatched		
dsd-fme	unmatched		
dsfs	unmatched		
dshell	unmatched		
dsjs	unmatched		
dsss	unmatched		
dsstore-crawler	unmatched		
dsxs	unmatched		
dtc	direct	dtc	exact-validated
dtp-spoof	unmatched		
dublin-traceroute	direct	dublin-traceroute	exact-validated
ducktoolkit	unmatched		
dumb0	unmatched		
dump1090	unmatched		
dumpacl	unmatched		
dumpsmbshare	unmatched		
dumpusers	unmatched		
dumpzilla	unmatched		
duplicut	unmatched		
dutas	unmatched		
dvcs-ripper	unmatched		
dvgrab	direct	dvgrab	exact-validated
dwarf	unmatched		
dynamorio	unmatched		
e2fsprogs	direct	e2fsprogs	exact-validated
eapeak	unmatched		
eaphammer	unmatched		
eapmd5pass	unmatched		
easy-creds	unmatched		
easyda	unmatched		
easyfuzzer	unmatched		
easytag	direct	easytag	exact-validated
eazy	unmatched		
ecfs	unmatched		
ecryptfs-utils	unmatched		
edb	direct	edb	exact-validated
edk2-ovmf	unmatched		
efibootmgr	direct	efibootmgr	exact-validated
eggshell	unmatched		
egl-gbm	direct	egl-gbm	exact-validated
egl-wayland	direct	egl-wayland	exact-validated
egl-wayland2	direct	egl-wayland2	exact-validated
egl-x11	direct	egl-x11	exact-validated
eglexternalplatform	direct	eglexternalplatform	exact-validated
eigrp-tools	unmatched		
eindeutig	unmatched		
electric-fence	unmatched		
electron38-bin	unmatched		
electron44	unmatched		
element-desktop	direct	element-desktop	exact-validated
element-web	direct	element-web	exact-validated
elettra	unmatched		
elettra-gui	unmatched		
elevate	unmatched		
elfparser	unmatched		
elidecode	unmatched		
elisa	unmatched		
elite-proxy-finder	unmatched		
ell	direct	ell	exact-validated
emacs	direct	emacs	exact-validated
email2phonenumber	unmatched		
embree	direct	embree	exact-validated
emldump	unmatched		
emp3r0r	unmatched		
empire	unmatched		
enabler	unmatched		
encodeshellcode	unmatched		
ent	direct	ent	exact-validated
enteletaor	unmatched		
entropy	direct	entropy	exact-validated
enum-shares	unmatched		
enum4linux-ng	direct	enum4linux-ng	exact-validated
enumerate-iam	unmatched		
enumerid	unmatched		
enumiax	unmatched		
enyelkm	unmatched		
eos	unmatched		
epicwebhoneypot	unmatched		
erase-registrations	unmatched		
eraser	unmatched		
eresi	direct	eresi	exact-validated
erl-matter	unmatched		
erlang-cl	unmatched		
espionage	unmatched		
eternal-scanner	unmatched		
etherchange	unmatched		
etherflood	unmatched		
ethtool	direct	ethtool	exact-validated
evil-ssdp	unmatched		
evil-winrm	direct	evil-winrm	exact-validated
evil-winrm-py	direct	evil-winrm-py	exact-validated
evilclippy	unmatched		
evilize	unmatched		
evillimiter	direct	evillimiter	exact-validated
evilmaid	unmatched		
evilpdf	unmatched		
evine	unmatched		
evolution	direct	evolution	exact-validated
evolution-data-server	direct	evolution-data-server	exact-validated
evtkit	unmatched		
ex-vi-compat	unmatched		
exabgp	direct	exabgp	exact-validated
exe2hex	direct	exe2hex	exact-validated
exe2image	unmatched		
exescan	unmatched		
exfatprogs	direct	exfatprogs	exact-validated
exiflooter	direct	exiflooter	exact-validated
exitmap	unmatched		
exo	unmatched		insecure
expimp-lookup	unmatched		
exploit-db	unmatched		
exploitpack	unmatched		
expose	unmatched		
ext4magic	direct	ext4magic	exact-validated
extended-ssrf-search	unmatched		
extra-cmake-modules	unmatched		
extractbitlockerkeys	unmatched		
extracthosts	unmatched		
extractusnjrnl	unmatched		
eyeballer	unmatched		
eyepwn	unmatched		
eyewitness	direct	eyewitness	exact-validated
f-scrack	unmatched		
f2fs-tools	direct	f2fs-tools	exact-validated
facebash	unmatched		
facebookosint	unmatched		
facebot	unmatched		
facebrok	unmatched		
facebrute	unmatched		
facter	direct	facter	exact-validated
factordb-pycli	unmatched		
fakeap	unmatched		
fakedns	unmatched		
fakemail	unmatched		
fakenet-ng	unmatched		
fakenetbios	unmatched		
falkon	unmatched		
fang	unmatched		
faradaysec	unmatched		
fastfetch	direct	fastfetch	exact-validated
fastnetmon	unmatched		
fatresize	direct	fatresize	exact-validated
fav-up	unmatched		
favfreak	unmatched		
fbht	unmatched		
fbi	unmatched		
fbid	unmatched		
fd	direct	fd	exact-validated
fdsploit	unmatched		
featherduster	unmatched		
fern-wifi-cracker	unmatched		
fernflower	unmatched		
fernmelder	unmatched		
ffm	unmatched		
ffmpegthumbs	unmatched		
ffuf-scripts	unmatched		
fgscanner	unmatched		
fhttp	unmatched		
fi6s	unmatched		
fiked	unmatched		
file	direct	file	exact-validated
filebuster	unmatched		
filefuzz	unmatched		
filegps	unmatched		
fileintel	unmatched		
filesystem	unmatched		
filezilla	direct	filezilla	exact-validated
filibuster	unmatched		
fimap	unmatched		
finalrecon	unmatched		
find-dns	unmatched		
find3	unmatched		
findmyhash	unmatched		
findmyiphone	unmatched		
findsploit	unmatched		
finduncommonshares	unmatched		
findutils	direct	findutils	exact-validated
fingerprinter	unmatched		
firebaseenum	unmatched		
firecat	unmatched		
firedragon	unmatched		
firedragon-extension-plasma-integration	unmatched		
firefox	direct	firefox	exact-validated
firefox-decrypt	alias	firefox_decrypt	hyphen-to-underscore
firefox-esr	direct	firefox-esr	exact-validated
firefox-security-toolkit	unmatched		
fireprox	unmatched		
firewalk	direct	firewalk	exact-validated
firewalld	direct	firewalld	exact-validated
firmwalker	unmatched		
firmware-mod-kit	unmatched		
firstexecution	unmatched		
firstorder	unmatched		
fl0p	unmatched		
flare	direct	flare	exact-validated
flare-floss	direct	flare-floss	exact-validated
flashlight	unmatched		
flashscanner	unmatched		
flashsploit	unmatched		
flask-session-cookie-manager2	unmatched		
flask-session-cookie-manager3	unmatched		
flask-unsign	direct	flask-unsign	exact-validated
flasm	direct	flasm	exact-validated
flatpak	direct	flatpak	exact-validated
flickcurl	unmatched		
flowinspect	unmatched		
flunym0us	unmatched		
fluxion	unmatched		
flyr	unmatched		
fmt	direct	fmt	exact-validated
fockcache	unmatched		
folks	direct	folks	exact-validated
fontforge	direct	fontforge	exact-validated
foomatic-db	direct	foomatic-db	exact-validated
foomatic-db-engine	direct	foomatic-db-engine	exact-validated
foomatic-db-gutenprint-ppds	unmatched		
foomatic-db-nonfree	direct	foomatic-db-nonfree	exact-validated
foomatic-db-nonfree-ppds	unmatched		
foomatic-db-ppds	direct	foomatic-db-ppds	exact-validated
forager	unmatched		
foresight	unmatched		
forkingportscanner	unmatched		
formatstringexploiter	unmatched		
fortiscan	unmatched		
fpdns	unmatched		
fport	unmatched		
fprintd	direct	fprintd	exact-validated
fprotlogparser	unmatched		
fractal	direct	fractal	exact-validated
fraud-bridge	unmatched		
fred	unmatched		
freecad	direct	freecad	exact-validated
